         17821262 function calls (15304465 primitive calls) in 61.145 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1065/1    0.078    0.000   61.146   61.146 {built-in method builtins.exec}
        1    0.000    0.000   61.146   61.146 ParseDev.py:1(<module>)
        1    0.095    0.095   57.028   57.028 ParseDev.py:35(main)
        1    0.001    0.001   55.565   55.565 HelperClass.py:190(write)
      193    0.021    0.000   55.559    0.288 HelperClass.py:120(write)
      770    0.003    0.000   46.122    0.060 shelve.py:230(open)
      770    0.009    0.000   46.119    0.060 shelve.py:225(__init__)
      770    0.014    0.000   46.099    0.060 __init__.py:53(open)
      770    0.010    0.000   34.225    0.044 dumb.py:290(open)
      770    0.019    0.000   34.214    0.044 dumb.py:48(__init__)
      769    2.268    0.003   23.335    0.030 dumb.py:92(_update)
     6925   23.282    0.003   23.294    0.003 {built-in method io.open}
   622086    2.601    0.000   20.375    0.000 ast.py:54(literal_eval)
       86    0.014    0.000   14.493    0.169 __init__.py:1(<module>)
      770    0.024    0.000   11.849    0.015 __init__.py:98(whichdb)
   622086    0.875    0.000   11.023    0.000 ast.py:33(parse)
      770    0.007    0.000   10.860    0.014 dumb.py:73(_create)
   622114    9.982    0.000    9.982    0.000 {built-in method builtins.compile}
     1538    0.024    0.000    8.508    0.006 shelve.py:140(close)
      769    0.004    0.000    8.502    0.011 shelve.py:137(__exit__)
     2307    3.615    0.002    8.365    0.004 dumb.py:112(_commit)
3110430/622086    5.458    0.000    6.341    0.000 ast.py:82(_convert)
     1538    0.014    0.000    4.259    0.003 shelve.py:164(sync)
     1538    0.104    0.000    4.226    0.003 dumb.py:272(close)
   1011/9    0.020    0.000    4.140    0.460 <frozen importlib._bootstrap>:1022(_find_and_load)
    997/9    0.012    0.000    4.140    0.460 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    951/9    0.012    0.000    4.133    0.459 <frozen importlib._bootstrap>:664(_load_unlocked)
    814/9    0.009    0.000    4.132    0.459 <frozen importlib._bootstrap_external>:877(exec_module)
   1333/9    0.003    0.000    4.119    0.458 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   572/14    0.003    0.000    3.876    0.277 {built-in method builtins.__import__}
        1    0.000    0.000    3.550    3.550 HelperClass.py:1(<module>)
        1    0.000    0.000    2.542    2.542 collocations.py:1(<module>)
  921/366    0.006    0.000    2.284    0.006 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    1.887    1.887 association.py:1(<module>)
  1244160    1.737    0.000    1.737    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.001    0.001    1.708    1.708 _stats_py.py:1(<module>)
      814    0.032    0.000    1.439    0.002 <frozen importlib._bootstrap_external>:950(get_code)
  6448895    1.345    0.000    1.345    0.000 {built-in method builtins.isinstance}
      814    0.013    0.000    1.000    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
      984    0.026    0.000    0.900    0.001 <frozen importlib._bootstrap>:921(_find_spec)
     4657    0.858    0.000    0.858    0.000 {method '__exit__' of '_io._IOBase' objects}
     5101    0.856    0.000    0.856    0.000 {built-in method nt.stat}
      966    0.003    0.000    0.852    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
      966    0.012    0.000    0.849    0.001 <frozen importlib._bootstrap_external>:1399(_get_spec)
    55502    0.245    0.000    0.792    0.000 ntpath.py:103(join)
     1461    0.037    0.000    0.783    0.001 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.782    0.782 distributions.py:1(<module>)
      814    0.760    0.001    0.760    0.001 {built-in method io.open_code}
     3548    0.007    0.000    0.738    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1536    0.730    0.000    0.730    0.000 {built-in method nt.rename}
   119/88    0.001    0.000    0.603    0.007 <frozen importlib._bootstrap_external>:1182(exec_module)
   119/88    0.038    0.000    0.603    0.007 {built-in method _imp.exec_dynamic}
     2353    0.582    0.000    0.582    0.000 {method 'read' of '_io.BufferedReader' objects}
      769    0.017    0.000    0.576    0.001 shelve.py:109(__getitem__)
  1244161    0.571    0.000    0.571    0.000 {method 'decode' of 'bytes' objects}
      769    0.011    0.000    0.555    0.001 dumb.py:143(__getitem__)
        3    0.000    0.000    0.533    0.178 helper.py:1(<module>)
   111063    0.329    0.000    0.522    0.000 ntpath.py:150(splitdrive)
     1536    0.497    0.000    0.497    0.000 {built-in method nt.unlink}
        1    0.000    0.000    0.492    0.492 aline.py:1(<module>)
        1    0.000    0.000    0.441    0.441 _kdtree.py:1(<module>)
  951/948    0.006    0.000    0.431    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     1585    0.008    0.000    0.398    0.000 re.py:288(_compile)
      540    0.001    0.000    0.393    0.001 re.py:249(compile)
      424    0.004    0.000    0.383    0.001 sre_compile.py:783(compile)
1916/1909    0.056    0.000    0.377    0.000 {built-in method builtins.__build_class__}
10113/9472    0.012    0.000    0.357    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.357    0.357 soupparser.py:1(<module>)
        1    0.000    0.000    0.356    0.356 _distn_infrastructure.py:1(<module>)
       16    0.000    0.000    0.347    0.022 __init__.py:215(__getattr__)
       16    0.000    0.000    0.347    0.022 __init__.py:108(import_module)
       16    0.000    0.000    0.347    0.022 <frozen importlib._bootstrap>:1038(_gcd_import)
   624887    0.343    0.000    0.343    0.000 {method 'encode' of 'str' objects}
  119/118    0.002    0.000    0.335    0.003 <frozen importlib._bootstrap_external>:1174(create_module)
  119/118    0.323    0.003    0.333    0.003 {built-in method _imp.create_dynamic}
      768    0.011    0.000    0.330    0.000 shelve.py:119(__setitem__)
        1    0.000    0.000    0.329    0.329 element.py:1(<module>)
      768    0.014    0.000    0.298    0.000 dumb.py:186(__setitem__)
        1    0.000    0.000    0.294    0.294 _laplacian.py:1(<module>)
        1    0.001    0.001    0.289    0.289 _continuous_distns.py:1(<module>)
      764    0.008    0.000    0.280    0.000 dumb.py:171(_setval)
   266/90    0.089    0.000    0.280    0.003 os.py:344(_walk)
       15    0.001    0.000    0.249    0.017 util.py:1(<module>)
     1189    0.004    0.000    0.246    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      107    0.004    0.000    0.239    0.002 _distn_infrastructure.py:1900(__init__)
     1105    0.003    0.000    0.235    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      424    0.003    0.000    0.234    0.001 sre_parse.py:944(parse)
 1639/425    0.015    0.000    0.226    0.001 sre_parse.py:436(_parse_sub)
        1    0.000    0.000    0.222    0.222 meteor_score.py:1(<module>)
 3687/453    0.081    0.000    0.222    0.000 sre_parse.py:494(_parse)
       13    0.000    0.000    0.214    0.016 api.py:1(<module>)
        1    0.000    0.000    0.212    0.212 helper.py:21(tokenizeHtml)
   647330    0.195    0.000    0.195    0.000 {method 'rstrip' of 'str' objects}
      814    0.007    0.000    0.192    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
   648973    0.182    0.000    0.182    0.000 {method 'lstrip' of 'str' objects}
      814    0.181    0.000    0.181    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.174    0.174 parser.py:103(feed)
        1    0.008    0.008    0.174    0.174 parser.py:133(goahead)
        1    0.000    0.000    0.174    0.174 css_parser.py:1(<module>)
     1536    0.008    0.000    0.172    0.000 dumb.py:280(_chmod)
        1    0.000    0.000    0.170    0.170 text.py:1(<module>)
      389    0.065    0.000    0.169    0.000 doccer.py:13(docformat)
    55922    0.155    0.000    0.165    0.000 {built-in method builtins.next}
     1536    0.164    0.000    0.164    0.000 {built-in method nt.chmod}
        1    0.000    0.000    0.161    0.161 lgmres.py:1(<module>)
      126    0.003    0.000    0.156    0.001 _distn_infrastructure.py:755(_construct_doc)
      814    0.003    0.000    0.155    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
     6928    0.102    0.000    0.154    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
      424    0.002    0.000    0.142    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    0.137    0.137 formatter.py:1(<module>)
   119523    0.135    0.000    0.135    0.000 {method 'replace' of 'str' objects}
      807    0.046    0.000    0.135    0.000 HelperClass.py:247(handle_data)
        1    0.000    0.000    0.133    0.133 dammit.py:1(<module>)
        1    0.000    0.000    0.111    0.111 _discrete_distns.py:1(<module>)
 4688/424    0.049    0.000    0.111    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.109    0.109 scores.py:1(<module>)
        1    0.000    0.000    0.101    0.101 request.py:1(<module>)
        1    0.000    0.000    0.094    0.094 css_parser.py:431(CSSParser)
       15    0.000    0.000    0.089    0.006 css_parser.py:308(__init__)
      951    0.012    0.000    0.086    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.083    0.083 dammit.py:67(EntitySubstitution)
        1    0.010    0.010    0.082    0.082 dammit.py:70(_populate_class_variables)
        1    0.000    0.000    0.082    0.082 featstruct.py:1(<module>)
     1628    0.016    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        1    0.000    0.000    0.079    0.079 _geometric_slerp.py:1(<module>)
        1    0.000    0.000    0.078    0.078 client.py:1(<module>)
        2    0.000    0.000    0.076    0.038 distance.py:1(<module>)
18735/18664    0.014    0.000    0.070    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.068    0.068 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.064    0.064 _minimize.py:1(<module>)
        1    0.000    0.000    0.063    0.063 casual.py:1(<module>)
      385    0.007    0.000    0.062    0.000 _util.py:308(getfullargspec_no_self)
   260733    0.058    0.000    0.058    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.058    0.058 _hypotests.py:1(<module>)
248066/242696    0.054    0.000    0.057    0.000 {built-in method builtins.len}
     1747    0.004    0.000    0.057    0.000 <frozen importlib._bootstrap>:391(cached)
       24    0.000    0.000    0.056    0.002 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
